num_floor,unit_per_floor,price,age,statuse,view,doc_status,north,sought,west,east,floor,area,num_sleep,tel,kitch,service,floor_covering,open,parking,warehouse,balcony,equipment,address_encoded,room_to_area
3.0,2,140000000.0,27.0,8,10.0,10.0,1.0,0.0,0.0,0.0,3.0,112.0,2.0,1.0,50.0,15.0,10.0,1.0,1.0,1.0,0.0,6,130949091.36171271,0.017857142857142856
9.0,2,140000000.0,3.0,8,10.0,10.0,0.0,1.0,0.0,0.0,3.0,125.0,2.0,1.0,50.0,15.0,10.0,1.0,1.0,1.0,1.0,21,116881752.16590452,0.016
5.0,2,130000000.0,4.0,6,22.0,10.0,1.0,0.0,0.0,0.0,3.0,75.0,2.0,1.0,50.0,15.0,15.0,1.0,1.0,1.0,1.0,17,108847442.52098835,0.02666666666666667
6.0,2,103448275.86206897,0.0,8,22.0,7.0,0.0,1.0,0.0,0.0,4.0,145.0,3.0,0.0,50.0,15.0,10.0,0.0,1.0,1.0,1.0,15,90369267.07558326,0.020689655172413793
4.0,1,53333333.333333336,17.0,8,22.0,3.0,1.0,0.0,0.0,0.0,1.0,75.0,1.0,1.0,50.0,5.0,15.0,1.0,0.0,0.0,0.0,3,45170175.37193248,0.013333333333333334
5.0,2,117391304.3478261,8.0,6,22.0,10.0,1.0,0.0,0.0,0.0,1.0,92.0,2.0,1.0,50.0,15.0,8.0,1.0,1.0,1.0,0.0,16,108847442.52098835,0.021739130434782608
5.0,2,140000000.0,7.0,8,22.0,10.0,0.0,1.0,0.0,0.0,5.0,78.0,2.0,0.0,50.0,15.0,10.0,1.0,1.0,1.0,1.0,13,108955839.42167248,0.02564102564102564
6.0,2,126881720.43010753,8.0,6,22.0,10.0,1.0,0.0,0.0,0.0,4.0,93.0,2.0,1.0,50.0,15.0,10.0,0.0,1.0,1.0,0.0,21,108847442.52098835,0.021505376344086023
6.0,3,120000000.0,0.0,8,22.0,10.0,0.0,1.0,0.0,0.0,3.0,82.0,2.0,1.0,50.0,15.0,8.0,1.0,1.0,1.0,1.0,18,90369267.07558326,0.024390243902439025
4.0,2,100000000.0,30.0,6,22.0,10.0,1.0,0.0,0.0,0.0,3.0,95.0,2.0,1.0,60.0,15.0,15.0,1.0,0.0,1.0,0.0,8,132285783.98395123,0.021052631578947368
6.0,4,115000000.0,7.0,6,22.0,10.0,1.0,0.0,0.0,0.0,1.0,83.0,1.0,1.0,50.0,15.0,8.0,1.0,1.0,1.0,0.0,21,88768761.55307986,0.012048192771084338
9.0,4,79268292.68292683,21.0,6,22.0,7.0,0.0,1.0,0.0,0.0,4.0,82.0,2.0,1.0,50.0,15.0,10.0,1.0,1.0,1.0,1.0,16,90252304.54654068,0.024390243902439025
4.0,1,67000000.0,21.0,6,22.0,10.0,1.0,0.0,0.0,0.0,3.0,50.0,1.0,1.0,50.0,5.0,10.0,1.0,0.0,1.0,0.0,3,66641655.6314843,0.02
6.0,4,98000000.0,3.0,6,21.0,10.0,1.0,0.0,0.0,0.0,4.0,93.0,2.0,1.0,50.0,15.0,10.0,0.0,1.0,1.0,1.0,15,90369267.07558326,0.021505376344086023
4.0,2,95412844.03669725,20.0,8,22.0,10.0,0.0,1.0,0.0,0.0,2.0,109.0,2.0,1.0,50.0,15.0,10.0,1.0,0.0,1.0,1.0,6,105751044.75779854,0.01834862385321101
5.0,3,140000000.0,0.0,8,22.0,10.0,1.0,1.0,0.0,0.0,4.0,50.0,1.0,1.0,50.0,15.0,8.0,1.0,1.0,1.0,1.0,18,79625558.00754656,0.02
5.0,4,102941176.47058824,8.0,8,22.0,10.0,0.0,1.0,0.0,0.0,5.0,68.0,2.0,1.0,50.0,15.0,8.0,1.0,1.0,1.0,0.0,19,88398213.3443459,0.029411764705882353
5.0,4,95000000.0,15.0,8,22.0,10.0,1.0,0.0,0.0,0.0,5.0,60.0,1.0,1.0,50.0,15.0,8.0,1.0,1.0,1.0,1.0,15,106024331.41528513,0.016666666666666666
4.0,1,116279069.76744185,10.0,8,22.0,10.0,0.0,0.0,1.0,0.0,3.0,43.0,1.0,1.0,50.0,15.0,8.0,1.0,0.0,1.0,1.0,18,106024331.41528513,0.023255813953488372
4.0,2,90000000.0,13.0,8,22.0,10.0,0.0,1.0,0.0,0.0,3.0,90.0,2.0,1.0,50.0,15.0,10.0,1.0,1.0,1.0,1.0,13,88398213.3443459,0.022222222222222223
5.0,4,83333333.33333333,13.0,6,25.0,10.0,0.0,1.0,0.0,0.0,5.0,72.0,2.0,1.0,50.0,15.0,10.0,1.0,1.0,1.0,0.0,17,66641655.6314843,0.027777777777777776
5.0,2,126506024.09638554,14.0,6,22.0,10.0,0.0,1.0,0.0,0.0,1.0,83.0,2.0,1.0,50.0,10.0,8.0,1.0,0.0,1.0,1.0,13,121218915.77181348,0.024096385542168676
3.0,1,40000000.0,30.0,6,22.0,3.0,1.0,0.0,0.0,0.0,3.0,45.0,1.0,1.0,50.0,5.0,10.0,1.0,0.0,0.0,0.0,6,45170175.37193248,0.022222222222222223
5.0,2,140000000.0,7.0,6,22.0,10.0,0.0,1.0,0.0,0.0,3.0,150.0,3.0,3.0,50.0,15.0,8.0,1.0,1.0,1.0,1.0,16,106024331.41528513,0.02
4.0,3,80000000.0,23.0,8,22.0,10.0,1.0,0.0,0.0,0.0,4.0,60.0,1.0,1.0,50.0,5.0,10.0,1.0,1.0,1.0,0.0,3,105751044.75779854,0.016666666666666666
4.0,2,100000000.0,23.0,6,22.0,10.0,0.0,1.0,0.0,0.0,2.0,65.0,1.0,1.0,50.0,5.0,10.0,1.0,1.0,1.0,0.0,6,79625558.00754656,0.015384615384615385
4.0,2,36000000.0,1.0,8,22.0,3.0,1.0,0.0,0.0,0.0,4.0,50.0,1.0,1.0,50.0,5.0,10.0,1.0,0.0,1.0,1.0,7,66641655.6314843,0.02
4.0,2,100000000.0,10.0,6,22.0,10.0,0.0,1.0,0.0,0.0,4.0,72.0,2.0,1.0,50.0,15.0,8.0,1.0,0.0,0.0,0.0,16,105751044.75779854,0.027777777777777776
3.0,1,80459770.11494254,30.0,8,22.0,10.0,1.0,0.0,0.0,0.0,3.0,87.0,2.0,1.0,50.0,5.0,10.0,1.0,1.0,1.0,0.0,3,108955839.42167248,0.022988505747126436
5.0,3,75000000.0,15.0,6,22.0,10.0,0.0,1.0,0.0,0.0,5.0,52.0,1.0,1.0,50.0,5.0,9.0,1.0,1.0,0.0,0.0,20,66641655.6314843,0.019230769230769232
4.0,2,80000000.0,20.0,6,22.0,10.0,0.0,1.0,0.0,0.0,3.0,85.0,2.0,1.0,50.0,15.0,10.0,1.0,1.0,1.0,1.0,7,105751044.75779854,0.023529411764705882
4.0,3,87500000.0,20.0,6,18.0,10.0,1.0,0.0,0.0,0.0,4.0,120.0,3.0,1.0,50.0,15.0,10.0,1.0,1.0,1.0,1.0,7,90252304.54654068,0.025
16.0,12,137931034.4827586,1.0,8,21.0,7.0,1.0,0.0,0.0,0.0,9.0,87.0,2.0,0.0,50.0,15.0,10.0,0.0,1.0,1.0,1.0,13,103064918.83949274,0.022988505747126436
5.0,2,100574712.64367816,2.0,8,22.0,10.0,1.0,0.0,0.0,0.0,3.0,87.0,2.0,0.0,50.0,15.0,10.0,1.0,1.0,1.0,0.0,10,90252304.54654068,0.022988505747126436
7.0,8,75151515.15151516,4.0,6,22.0,7.0,1.0,0.0,0.0,0.0,4.0,66.0,2.0,1.0,50.0,5.0,10.0,1.0,1.0,1.0,1.0,17,66641655.6314843,0.030303030303030304
3.0,1,45000000.0,12.0,8,22.0,3.0,0.0,1.0,0.0,0.0,3.0,70.0,1.0,1.0,50.0,5.0,10.0,1.0,0.0,1.0,0.0,3,66641655.6314843,0.014285714285714285
6.0,3,104545454.54545455,0.0,8,22.0,7.0,0.0,1.0,0.0,0.0,3.0,110.0,2.0,1.0,50.0,15.0,10.0,1.0,1.0,0.0,1.0,15,90276736.79716071,0.01818181818181818
4.0,1,129411764.70588236,0.0,8,22.0,10.0,0.0,1.0,0.0,0.0,1.0,85.0,2.0,1.0,50.0,15.0,10.0,1.0,1.0,1.0,1.0,21,114303344.17128763,0.023529411764705882
4.0,2,72297297.2972973,17.0,8,22.0,10.0,1.0,0.0,0.0,0.0,1.0,74.0,1.0,2.0,50.0,15.0,15.0,1.0,0.0,1.0,0.0,6,79625558.00754656,0.013513513513513514
5.0,3,97701149.42528735,10.0,6,22.0,10.0,1.0,0.0,0.0,0.0,5.0,87.0,2.0,1.0,50.0,15.0,8.0,1.0,1.0,1.0,1.0,18,90252304.54654068,0.022988505747126436
4.0,1,140000000.0,19.0,6,30.0,10.0,1.0,0.0,0.0,0.0,1.0,150.0,3.0,1.0,50.0,15.0,10.0,1.0,1.0,1.0,0.0,6,108847442.52098835,0.02
20.0,20,89690721.64948453,3.0,6,21.0,7.0,1.0,0.0,0.0,0.0,3.0,97.0,2.0,1.0,50.0,15.0,10.0,1.0,1.0,1.0,1.0,13,103064918.83949274,0.020618556701030927
4.0,1,140000000.0,7.0,6,22.0,10.0,1.0,0.0,0.0,0.0,3.0,150.0,3.0,1.0,50.0,15.0,8.0,1.0,1.0,1.0,1.0,10,121218915.77181348,0.02
5.0,2,66000000.0,10.0,8,25.0,10.0,0.0,1.0,0.0,0.0,2.0,50.0,1.0,1.0,50.0,15.0,10.0,1.0,0.0,0.0,1.0,17,66641655.6314843,0.02
5.0,3,74000000.0,6.0,8,22.0,10.0,1.0,0.0,0.0,0.0,5.0,75.0,1.0,1.0,50.0,15.0,10.0,1.0,1.0,1.0,1.0,16,66641655.6314843,0.013333333333333334
4.0,2,97849462.36559139,19.0,8,22.0,10.0,0.0,1.0,0.0,0.0,3.0,93.0,2.0,1.0,50.0,5.0,10.0,0.0,1.0,1.0,0.0,21,105934525.36925614,0.021505376344086023
16.0,12,106796116.50485437,3.0,6,21.0,7.0,1.0,0.0,0.0,0.0,10.0,103.0,2.0,0.0,50.0,15.0,10.0,1.0,1.0,1.0,1.0,15,103064918.83949274,0.019417475728155338
5.0,3,117741935.48387097,7.0,8,22.0,10.0,1.0,0.0,0.0,0.0,4.0,62.0,1.0,1.0,50.0,15.0,10.0,1.0,1.0,1.0,1.0,13,90252304.54654068,0.016129032258064516
4.0,2,57142857.14285714,27.0,8,22.0,10.0,1.0,0.0,0.0,0.0,4.0,56.0,1.0,1.0,50.0,5.0,10.0,1.0,0.0,1.0,0.0,3,79625558.00754656,0.017857142857142856
5.0,2,140000000.0,3.0,8,22.0,10.0,1.0,0.0,0.0,0.0,4.0,112.0,2.0,1.0,50.0,15.0,8.0,1.0,1.0,1.0,1.0,13,138137584.84661886,0.017857142857142856
3.0,1,27586206.896551725,24.0,6,22.0,3.0,0.0,1.0,0.0,0.0,3.0,58.0,1.0,1.0,5.0,5.0,10.0,0.0,0.0,0.0,0.0,3,45170175.37193248,0.017241379310344827
4.0,3,82474226.80412371,20.0,6,10.0,10.0,1.0,0.0,0.0,0.0,2.0,97.0,2.0,1.0,50.0,5.0,20.0,1.0,1.0,1.0,0.0,11,106024331.41528513,0.020618556701030927
3.0,1,72000000.0,22.0,6,22.0,10.0,0.0,1.0,0.0,0.0,2.0,50.0,1.0,1.0,50.0,5.0,10.0,1.0,0.0,1.0,0.0,3,66641655.6314843,0.02
4.0,2,72000000.0,20.0,6,22.0,10.0,0.0,1.0,0.0,0.0,4.0,50.0,1.0,1.0,50.0,5.0,10.0,1.0,0.0,0.0,0.0,3,105751044.75779854,0.02
